Trading_Date,Trading_Period,Carbon_Intensity(g/KWh)
2021-06-30,00:00,220.65478407454586
2021-06-30,00:30,223.27648992154406
2021-06-30,01:00,211.1354972250653
2021-06-30,01:30,207.30122328858516
2021-06-30,02:00,199.22347441208603
2021-06-30,02:30,202.8002085129173
2021-06-30,03:00,201.16800264014392
2021-06-30,03:30,200.34015139746623
2021-06-30,04:00,207.57046156595993
2021-06-30,04:30,210.05319105359948
2021-06-30,05:00,212.96469305468142
2021-06-30,05:30,221.1445744805913
2021-06-30,06:00,212.886533221439
2021-06-30,06:30,207.0641547780767
2021-06-30,07:00,198.96646699385258
2021-06-30,07:30,197.52730772386613
2021-06-30,08:00,195.3221536809082
2021-06-30,08:30,195.3180091766657
2021-06-30,09:00,193.68345854518296
2021-06-30,09:30,196.8647305492887
2021-06-30,10:00,203.6938398373938
2021-06-30,10:30,204.72105057426555
2021-06-30,11:00,199.40475301940012
2021-06-30,11:30,199.373475822808
2021-06-30,12:00,201.14666483293013
2021-06-30,12:30,201.8276024387595
2021-06-30,13:00,198.17897084036062
2021-06-30,13:30,200.09280250017517
2021-06-30,14:00,207.76515223706426
2021-06-30,14:30,205.63299432660693
2021-06-30,15:00,206.35452108628783
2021-06-30,15:30,200.9453633240599
2021-06-30,16:00,202.71810603658875
2021-06-30,16:30,200.4902237719828
2021-06-30,17:00,195.40814180966396
2021-06-30,17:30,193.3346978547586
2021-06-30,18:00,195.99451884169568
2021-06-30,18:30,195.98731221176558
2021-06-30,19:00,197.00711301839922
2021-06-30,19:30,198.18092566141803
2021-06-30,20:00,199.6972305871536
2021-06-30,20:30,201.71865865026575
2021-06-30,21:00,200.6141926421709
2021-06-30,21:30,201.9470468861452
2021-06-30,22:00,202.69990446190369
2021-06-30,22:30,199.10559249015043
2021-06-30,23:00,198.6320125022112
2021-06-30,23:30,196.77308314175113
2021-07-01,00:00,178.17321473731792
2021-07-01,00:30,176.48966691477486
2021-07-01,01:00,169.03148155850664
