Trading_Date,Trading_Period,Consumption(kWh)
2022-10-01,00:00,20.66
2022-10-01,00:30,20.57
2022-10-01,01:00,20.88
2022-10-01,01:30,21.94
2022-10-01,02:00,25.3
2022-10-01,02:30,23.57
2022-10-01,03:00,26.64
2022-10-01,03:30,22.34
2022-10-01,04:00,24.05
2022-10-01,04:30,23.45
2022-10-01,05:00,25.01
2022-10-01,05:30,22.92
2022-10-01,06:00,24.05
2022-10-01,06:30,26.38
2022-10-01,07:00,23.42
2022-10-01,07:30,22.39
2022-10-01,08:00,25.42
2022-10-01,08:30,22.08
2022-10-01,09:00,20.54
2022-10-01,09:30,19.73
2022-10-01,10:00,19.51
2022-10-01,10:30,19.54
2022-10-01,11:00,20.38
2022-10-01,11:30,20.88
2022-10-01,12:00,18.91
2022-10-01,12:30,20.06
2022-10-01,13:00,18.86
2022-10-01,13:30,20.33
2022-10-01,14:00,19.46
2022-10-01,14:30,20.76
2022-10-01,15:00,19.66
2022-10-01,15:30,18.14
2022-10-01,16:00,18.98
2022-10-01,16:30,19.58
2022-10-01,17:00,19.32
2022-10-01,17:30,19.92
2022-10-01,18:00,21.1
2022-10-01,18:30,22.15
2022-10-01,19:00,21.72
2022-10-01,19:30,20.62
2022-10-01,20:00,24.29
2022-10-01,20:30,21.5
2022-10-01,21:00,21.86
2022-10-01,21:30,21.55
2022-10-01,22:00,21.53
2022-10-01,22:30,22.1
2022-10-01,23:00,22.27
2022-10-01,23:30,22.46
2022-10-02,00:00,23.98
2022-10-02,00:30,22.87
2022-10-02,01:00,22.46
2022-10-02,01:30,22.73
2022-10-02,02:00,24.22
2022-10-02,02:30,23.09
2022-10-02,03:00,22.37
2022-10-02,03:30,22.92
2022-10-02,04:00,25.06
2022-10-02,04:30,23.02
2022-10-02,05:00,23.21
2022-10-02,05:30,23.66
2022-10-02,06:00,27.53
2022-10-02,06:30,27.05
2022-10-02,07:00,25.99
2022-10-02,07:30,24.36
2022-10-02,08:00,26.81
2022-10-02,08:30,27.62
2022-10-02,09:00,24.29
2022-10-02,09:30,23.81
2022-10-02,10:00,25.3
2022-10-02,10:30,24.84
2022-10-02,11:00,25.51
2022-10-02,11:30,25.78
2022-10-02,12:00,28.15
2022-10-02,12:30,24.38
2022-10-02,13:00,21.17
2022-10-02,13:30,20.38
2022-10-02,14:00,18.05
2022-10-02,14:30,21.89
2022-10-02,15:00,25.42
2022-10-02,15:30,24.67
2022-10-02,16:00,23.54
2022-10-02,16:30,24.5
2022-10-02,17:00,20.14
2022-10-02,17:30,22.32
2022-10-02,18:00,20.62
2022-10-02,18:30,21.91
2022-10-02,19:00,22.9
2022-10-02,19:30,21.02
2022-10-02,20:00,22.13
2022-10-02,20:30,23.47
2022-10-02,21:00,23.54
2022-10-02,21:30,22.99
2022-10-02,22:00,24.65
2022-10-02,22:30,23.59
2022-10-02,23:00,26.78
2022-10-02,23:30,24.6
