Trading_Date,Trading_Period,$/MWh
2021-06-30,00:00,382.28
2021-06-30,00:30,384.17
2021-06-30,01:00,334.75
2021-06-30,01:30,209.17
2021-06-30,02:00,198.34
2021-06-30,02:30,202.41
2021-06-30,03:00,202.03
2021-06-30,03:30,203.09
2021-06-30,04:00,207.35
2021-06-30,04:30,209.17
2021-06-30,05:00,385.59
2021-06-30,05:30,480.86
2021-06-30,06:00,512.78
2021-06-30,06:30,517.76
2021-06-30,07:00,521.37
2021-06-30,07:30,506.35
2021-06-30,08:00,501.24
2021-06-30,08:30,301.57
2021-06-30,09:00,296.6
2021-06-30,09:30,316.66
2021-06-30,10:00,313.47
2021-06-30,10:30,293.57
2021-06-30,11:00,282.35
2021-06-30,11:30,310.94
2021-06-30,12:00,274.3
2021-06-30,12:30,220.02
2021-06-30,13:00,274.84
2021-06-30,13:30,219.45
2021-06-30,14:00,194.48
2021-06-30,14:30,192.84
2021-06-30,15:00,192.49
2021-06-30,15:30,195.82
2021-06-30,16:00,219.95
2021-06-30,16:30,222.01
2021-06-30,17:00,260.97
2021-06-30,17:30,298.42
2021-06-30,18:00,358.81
2021-06-30,18:30,340.27
2021-06-30,19:00,315.51
2021-06-30,19:30,316.2
2021-06-30,20:00,339.17
2021-06-30,20:30,517.76
2021-06-30,21:00,517.75
2021-06-30,21:30,425.6
2021-06-30,22:00,301.61
2021-06-30,22:30,272.8
2021-06-30,23:00,210.56
2021-06-30,23:30,199.24
2021-07-01,00:00,221.06
2021-07-01,00:30,204.15
2021-07-01,01:00,218.03
2021-07-01,01:30,205.25
2021-07-01,02:00,217.98
2021-07-01,02:30,198.85
2021-07-01,03:00,193.26
2021-07-01,03:30,193.26
2021-07-01,04:00,193.26
2021-07-01,04:30,214.94
2021-07-01,05:00,207.37
2021-07-01,05:30,261.58
2021-07-01,06:00,416.77
2021-07-01,06:30,433.42
2021-07-01,07:00,472.31
2021-07-01,07:30,411.95
2021-07-01,08:00,407.9
2021-07-01,08:30,392.22
2021-07-01,09:00,270.08
2021-07-01,09:30,275.46
2021-07-01,10:00,223.89
2021-07-01,10:30,249.79
2021-07-01,11:00,244.74
2021-07-01,11:30,213.39
2021-07-01,12:00,194.73
2021-07-01,12:30,194.67
2021-07-01,13:00,194.25
2021-07-01,13:30,192.74
2021-07-01,14:00,192.36
2021-07-01,14:30,192.67
2021-07-01,15:00,192.67
2021-07-01,15:30,192.84
2021-07-01,16:00,194.38
2021-07-01,16:30,205.43
2021-07-01,17:00,258.18
2021-07-01,17:30,318.82
2021-07-01,18:00,337.1
2021-07-01,18:30,392.23
2021-07-01,19:00,394.53
2021-07-01,19:30,388.08
2021-07-01,20:00,391.04
2021-07-01,20:30,391.14
2021-07-01,21:00,391.59
2021-07-01,21:30,313.48
2021-07-01,22:00,337.82
2021-07-01,22:30,262.74
2021-07-01,23:00,217.7
2021-07-01,23:30,221.03
2021-07-02,00:00,320.44
2021-07-02,00:30,290.03
2021-07-02,01:00,287.18
2021-07-02,01:30,289.54
2021-07-02,02:00,288.56
2021-07-02,02:30,244.57
2021-07-02,03:00,218.5
2021-07-02,03:30,218.15
2021-07-02,04:00,288.13
2021-07-02,04:30,218.11
2021-07-02,05:00,212.24
2021-07-02,05:30,298.92
2021-07-02,06:00,385.63
2021-07-02,06:30,482.16
2021-07-02,07:00,485.03
2021-07-02,07:30,393.93
2021-07-02,08:00,392.75
2021-07-02,08:30,404.92
2021-07-02,09:00,367.3
2021-07-02,09:30,456.35
2021-07-02,10:00,305.42
2021-07-02,10:30,393.14
2021-07-02,11:00,348.22
2021-07-02,11:30,222.1
2021-07-02,12:00,218.88
2021-07-02,12:30,211.96
2021-07-02,13:00,194.61
2021-07-02,13:30,192.79
2021-07-02,14:00,191.98
2021-07-02,14:30,192.69
2021-07-02,15:00,192.4
2021-07-02,15:30,193.1
2021-07-02,16:00,203.04
2021-07-02,16:30,222.19
2021-07-02,17:00,362.28
2021-07-02,17:30,323.84
2021-07-02,18:00,388.53
2021-07-02,18:30,382.92
2021-07-02,19:00,287.39
2021-07-02,19:30,281.44
2021-07-02,20:00,372.15
2021-07-02,20:30,394.07
2021-07-02,21:00,423.69
2021-07-02,21:30,340.05
2021-07-02,22:00,342.22
2021-07-02,22:30,268.36
2021-07-02,23:00,372.0
2021-07-02,23:30,290.5
2021-07-03,00:00,311.13
2021-07-03,00:30,305.01
2021-07-03,01:00,278.15
2021-07-03,01:30,245.47
2021-07-03,02:00,243.17
2021-07-03,02:30,222.18
2021-07-03,03:00,222.09
2021-07-03,03:30,222.09
